"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
2,55,1278,15.7,18,18,13.4,19.5,126,393,3.4,10.5,26,10.5,239,4.3
2,60,1006,17.4,19.6,19.2,15.6,22.5,153,272,3.3,12.4,28,11,294,4.9
2,65,844,19,21.1,20.2,17.5,25.5,181,162,3.2,15.7,29,11.3,351,5.4
2,70,718,20.4,22.4,21.2,19.4,28.4,207,126,3.1,17.6,31,11.5,409,5.8
2,75,619,21.7,23.7,22.1,21.3,31.3,233,99,3,19.5,32,11.7,467,6.2
2,80,538,23,24.8,22.9,23.3,34.2,259,80,2.9,21.4,33,11.7,526,6.6
2,85,473,24.1,25.8,23.7,25.3,37,283,66,2.8,23.3,34,11.8,584,6.9
2,90,418,25.1,26.8,24.5,27.3,39.7,307,54,2.7,25.4,35,11.7,643,7.1
2,95,373,26.1,27.7,25.2,29.3,42.3,330,45,2.7,27.5,35,11.7,701,7.4
2,100,335,26.9,28.5,25.8,31.3,44.8,352,38,2.6,29.7,36,11.6,759,7.6
2,105,303,27.8,29.3,26.3,33.3,47.3,374,32,2.6,31.8,36,11.5,817,7.8
2,110,276,28.5,30,26.9,35.3,49.7,395,28,2.5,33.9,36,11.4,874,7.9
2,115,252,29.2,30.6,27.4,37.2,52,415,24,2.4,36.2,36,11.3,931,8.1
2,120,231,29.9,31.2,27.9,39.2,54.2,434,21,2.4,38.5,37,11.2,986,8.2
2,125,213,30.5,31.8,28.3,41.1,56.3,453,18,2.3,40.7,37,11,1041,8.3
2,130,197,31,32.3,28.7,43,58.4,471,16,2.3,42.7,36,10.9,1096,8.4
2,135,183,31.6,32.8,29.1,45,60.4,488,14,2.2,44.5,36,10.8,1150,8.5
2,140,170,32.1,33.3,29.5,47,62.2,505,13,2.2,46.3,36,10.6,1203,8.6
2,145,158,32.5,33.7,29.9,49.1,64,521,12,2.2,48.1,36,10.5,1255,8.7
2,150,147,33,34.1,30.3,51.2,65.8,537,11,2.1,50,36,10.3,1307,8.7
2,155,136,33.5,34.5,30.7,53.3,67.6,553,10,2,51.9,36,10.1,1359,8.7
2,160,125,34,34.9,31.1,55.4,69.4,569,9,1.9,53.8,36,9.9,1411,8.7
2,165,114,34.5,35.3,31.5,57.5,71.2,585,8,1.8,55.7,36,9.7,1463,8.7
2,170,103,35,35.7,31.9,59.6,73,601,7,1.7,57.6,36,9.5,1515,8.7
2,175,92,35.5,36.1,32.3,61.7,74.8,617,6,1.6,59.5,36,9.3,1567,8.7
2,180,81,36,36.5,32.7,63.8,76.6,633,5,1.5,61.4,36,9.1,1619,8.7
3,25,6939,1.2,4.4,8.1,1,NA,0,2633,3.3,2,3,1.8,0,0
3,30,6086,3.1,6.1,9.5,2.5,2.2,0,2277,3.2,2.9,5,2.8,0,0
3,35,5233,5,7.8,10.9,4,4.8,0,1921,3.1,3.8,7,3.8,1,0.3
3,40,4380,6.9,9.5,12.3,5.5,7.4,19,1565,3,4.7,9,4.8,35,0.9
3,45,3527,8.8,11.2,13.7,7,10,40,1209,2.9,5.6,11,5.8,69,1.5
3,50,2674,10.7,12.9,15.1,8.5,12.6,61,853,2.8,6.5,13,6.8,103,2.1
3,55,2068,12.4,14.5,16.4,10,15.2,84,606,2.7,7.6,16,7.6,141,2.6
3,60,1634,14,16,17.6,11.7,17.9,107,434,2.7,8.9,18,8.2,182,3
3,65,1319,15.5,17.4,18.6,13.4,20.5,130,315,2.7,10.4,20,8.6,225,3.5
3,70,1087,16.9,18.7,19.6,15.2,23.1,153,232,2.6,12,22,8.9,270,3.9
3,75,936,18.1,19.9,20.5,16.7,25.7,176,152,2.6,14.8,23,9.2,316,4.2
3,80,811,19.3,21,21.3,18.3,28.3,198,125,2.6,16.2,25,9.3,362,4.5
3,85,709,20.4,22,22.1,19.9,30.7,219,103,2.5,17.8,26,9.4,409,4.8
