"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
0,160,176,36.9,38.1,35.4,50.9,80.4,670,8,0.7,56.9,22,4.7,1630,10.5
1,10,5979,4.5,5.8,10.2,2,6.3,17,3331,12.1,3.4,49,18.5,0,1.4
1,15,5033,6.5,7.8,13,4.3,9.3,47,2735,11,5.1,49,17.8,0,3
1,20,4087,8.5,9.8,15.8,6.6,12.3,77,2139,9.9,6.8,49,17.1,78,4.6
1,25,3141,10.5,11.8,18.6,8.9,15.3,107,1543,8.8,8.5,49,16.4,156,6.2
1,30,2195,12.5,13.8,21.4,11.2,18.3,137,947,7.7,10.2,49,15.7,234,7.8
1,35,1609,14.4,15.6,23.7,13.6,21.1,165,586,6.6,12,46,14.9,309,8.8
1,40,1245,16.1,17.3,25.6,16,23.8,191,364,5.8,14.2,44,14,379,9.5
1,45,1018,17.6,18.9,27.1,18.1,26.3,216,227,5,16.8,41,13.2,445,9.9
1,50,829,19,20.3,28.4,20.5,28.8,239,188,4.5,17.4,39,12.4,507,10.1
1,55,703,20.3,21.6,29.5,22.7,31.2,261,126,4,20.1,37,11.8,566,10.3
1,60,615,21.5,22.8,30.5,24.7,33.5,282,88,3.6,22.8,35,11.1,622,10.4
1,65,550,22.6,23.8,31.3,26.5,35.8,302,65,3.3,25.4,33,10.6,674,10.4
1,70,500,23.5,24.8,32,28.1,37.9,321,50,3,27.8,31,10.1,725,10.4
1,75,461,24.4,25.7,32.6,29.6,40,340,39,2.8,30.1,30,9.6,773,10.3
1,80,430,25.2,26.5,33.1,31,42.1,357,31,2.6,32.4,28,9.2,818,10.2
1,85,405,26,27.2,33.5,32.3,44,374,25,2.4,34.8,27,8.8,862,10.1
1,90,383,26.6,27.9,33.9,33.4,45.9,389,21,2.3,36.9,26,8.4,904,10
1,95,365,27.2,28.5,34.2,34.4,47.8,405,18,2.1,38.7,25,8.1,945,9.9
1,100,349,27.8,29,34.5,35.4,49.6,419,16,2,40.4,24,7.8,983,9.8
1,105,335,28.3,29.5,34.7,36.3,51.3,433,14,1.9,42,23,7.5,1021,9.7
1,110,323,28.7,29.9,34.8,37.2,53,446,12,1.9,43.6,23,7.2,1057,9.6
1,115,312,29.1,30.3,35,38,54.7,459,11,1.8,44.7,22,7,1092,9.5
1,120,301,29.5,30.7,35,38.8,56.3,471,10,1.7,45.6,21,6.7,1125,9.4
1,125,290,29.9,31.1,35,39.6,57.9,483,9,1.6,46.5,20,6.4,1158,9.3
1,130,279,30.3,31.5,35,40.4,59.5,495,8,1.5,47.4,19,6.1,1191,9.2
1,135,268,30.7,31.9,35,41.2,61.1,507,7,1.4,48.3,18,5.8,1224,9.1
1,140,257,31.1,32.3,35,42,62.7,519,6,1.3,49.2,17,5.5,1257,9
1,145,246,31.5,32.7,35,42.8,64.3,531,5,1.2,50.1,16,5.2,1290,8.9
1,150,235,31.9,33.1,35,43.6,65.9,543,4,1.1,51,15,4.9,1323,8.8
1,155,224,32.3,33.5,35,44.4,67.5,555,3,1,51.9,14,4.6,1356,8.7
1,160,213,32.7,33.9,35,45.2,69.1,567,2,0.9,52.8,13,4.3,1389,8.6
2,10,6666,3.8,5.1,8.7,1.1,6.4,9,2939,8,2.5,31,13.6,0,0.7
2,15,5827,5.4,6.7,11,3,8.9,33,2519,7.6,3.9,32,13.3,0,1.7
2,20,4988,7,8.3,13.3,4.9,11.4,57,2099,7.2,5.3,33,13,20,2.7
2,25,4149,8.6,9.9,15.6,6.8,13.9,81,1679,6.8,6.7,34,12.7,80,3.7
2,30,3310,10.2,11.5,17.9,8.7,16.4,105,1259,6.4,8.1,35,12.4,140,4.7
2,35,2471,11.8,13.1,20.2,10.6,18.9,129,839,6,9.5,36,12.1,200,5.7
2,40,1904,13.3,14.6,22.2,12.4,21.2,151,566,5.4,11,36,11.6,258,6.5
2,45,1520,14.7,16,23.8,14.3,23.4,172,385,4.9,12.7,35,11.1,314,7
2,50,1257,15.9,17.2,25.2,16.1,25.5,192,263,4.4,14.6,33,10.6,367,7.3
2,55,1075,17.1,18.4,26.5,17.8,27.6,210,181,4,16.8,32,10.1,418,7.6
2,60,914,18.1,19.4,27.5,19.6,29.5,228,161,3.7,17,31,9.7,466,7.8
2,65,795,19.1,20.4,28.4,21.4,31.4,244,119,3.4,19.1,30,9.3,513,7.9
2,70,705,20,21.2,29.2,23,33.2,260,90,3.1,21.1,28,8.9,557,8
2,75,636,20.8,22,29.9,24.5,35,275,69,2.9,23.2,27,8.5,600,8
2,80,582,21.5,22.7,30.6,25.9,36.7,290,54,2.7,25.5,26,8.2,640,8
2,85,540,22.1,23.4,31.1,27.2,38.3,304,42,2.6,27.9,25,7.9,680,8
2,90,506,22.7,24,31.6,28.3,39.9,317,34,2.4,30.2,25,7.6,718,8
2,95,477,23.3,24.5,32,29.3,41.4,330,28,2.3,32.3,24,7.3,754,7.9
2,100,453,23.8,25,32.3,30.3,42.8,342,24,2.2,34.2,23,7.1,790,7.9
2,105,432,24.2,25.4,32.6,31.2,44.3,354,21,2.1,36,22,6.8,824,7.8
2,110,414,24.6,25.8,32.9,32,45.7,365,18,2,37.7,22,6.6,857,7.8
2,115,398,25,26.2,33.1,32.8,47,376,16,1.9,39.1,21,6.4,889,7.7
2,120,383,25.3,26.5,33.3,33.5,48.3,386,15,1.9,40.2,21,6.2,920,7.7
2,125,368,25.6,26.8,33.5,34.2,49.6,396,14,1.9,41.3,21,6,951,7.7
2,130,353,25.9,27.1,33.7,34.9,50.9,406,13,1.9,42.4,21,5.8,982,7.7
2,135,338,26.2,27.4,33.9,35.6,52.2,416,12,1.9,43.5,21,5.6,1013,7.7
2,140,323,26.5,27.7,34.1,36.3,53.5,426,11,1.9,44.6,21,5.4,1044,7.7
2,145,308,26.8,28,34.3,37,54.8,436,10,1.9,45.7,21,5.2,1075,7.7
2,150,293,27.1,28.3,34.5,37.7,56.1,446,9,1.9,46.8,21,5,1106,7.7
2,155,278,27.4,28.6,34.7,38.4,57.4,456,8,1.9,47.9,21,4.8,1137,7.7
2,160,263,27.7,28.9,34.9,39.1,58.7,466,7,1.9,49,21,4.6,1168,7.7
3,10,6593,3.4,4.7,7.9,1.1,6.9,10,2164,6.5,0.7,20,10.3,0,0
3,15,5998,4.6,5.9,9.6,2.5,8.8,27,1940,6.2,2,21,10.1,0,0
3,20,5403,5.8,7.1,11.3,3.9,10.7,44,1716,5.9,3.3,22,9.9,0,0.6
3,25,4808,7,8.3,13,5.3,12.6,61,1492,5.6,4.6,23,9.7,6,1.3
3,30,4213,8.2,9.5,14.7,6.7,14.5,78,1268,5.3,5.9,24,9.5,50,2
3,35,3618,9.4,10.7,16.4,8.1,16.4,95,1044,5,7.2,25,9.3,94,2.7
3,40,3023,10.6,11.9,18.1,9.5,18.3,112,820,4.7,8.5,26,9.1,138,3.4
3,45,2428,11.8,13.1,19.8,10.9,20.2,129,596,4.4,9.8,27,8.9,182,4.1
3,50,1991,12.9,14.2,21.3,12.4,21.9,145,437,4.2,11,27,8.6,225,4.5
3,55,1668,13.9,15.1,22.7,13.8,23.6,161,323,3.9,12.4,27,8.4,267,4.9
3,60,1428,14.8,16.1,23.8,15.2,25.2,175,240,3.6,13.9,26,8.1,308,5.1
3,65,1247,15.6,16.9,24.8,16.5,26.8,189,181,3.4,15.5,25,7.8,347,5.3
3,70,1110,16.4,17.7,25.7,17.8,28.3,202,137,3.2,17.2,25,7.5,384,5.5
3,75,1005,17.1,18.4,26.5,18.9,29.7,214,105,3,19.1,24,7.3,421,5.6
3,80,902,17.7,19,27.3,20.2,31,226,104,2.8,18.7,23,7,456,5.7
3,85,819,18.3,19.6,27.9,21.4,32.4,237,82,2.7,20.5,23,6.8,490,5.8
3,90,753,18.8,20.1,28.5,22.5,33.6,248,66,2.6,22.2,22,6.6,523,5.8
3,95,699,19.3,20.6,29,23.6,34.8,258,54,2.5,24,22,6.4,555,5.8
3,100,653,19.7,21,29.4,24.5,36,268,45,2.4,25.7,21,6.2,586,5.9
3,105,615,20.1,21.4,29.9,25.4,37.2,277,38,2.3,27.4,21,6,616,5.9
3,110,582,20.5,21.7,30.2,26.2,38.3,287,33,2.2,29.1,20,5.9,645,5.9
3,115,554,20.8,22.1,30.6,27,39.3,295,28,2.1,30.6,20,5.7,674,5.9
3,120,529,21.1,22.4,30.8,27.8,40.4,304,25,2,31.9,19,5.5,701,5.8
3,125,504,21.4,22.7,31,28.6,41.5,313,22,1.9,33.2,18,5.3,728,5.7
3,130,479,21.7,23,31.2,29.4,42.6,322,19,1.8,34.5,17,5.1,755,5.6
3,135,454,22,23.3,31.4,30.2,43.7,331,16,1.7,35.8,16,4.9,782,5.5
3,140,429,22.3,23.6,31.6,31,44.8,340,13,1.6,37.1,15,4.7,809,5.4
3,145,404,22.6,23.9,31.8,31.8,45.9,349,10,1.5,38.4,14,4.5,836,5.3
3,150,379,22.9,24.2,32,32.6,47,358,7,1.4,39.7,13,4.3,863,5.2
3,155,354,23.2,24.5,32.2,33.4,48.1,367,4,1.3,41,12,4.1,890,5.1
3,160,329,23.5,24.8,32.4,34.2,49.2,376,1,1.2,42.3,11,3.9,917,5
