"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
2,50,940,18.1,19.1,28.2,19.5,27.8,237,160,3.4,16.5,28,14.6,396,7.9
2,55,850,19.9,20.8,30.5,21.4,30.4,281,90,3.2,21.4,29,14.7,470,8.5
2,60,791,21.5,22.5,32.7,23,32.9,324,59,3.1,26,30,14.6,543,9
2,65,745,23,23.9,35,24.5,35.1,365,46,3.1,29.1,31,14.5,615,9.5
2,70,703,24.3,25.3,37.1,25.9,37.2,404,41,3,30.6,32,14.3,686,9.8
2,75,664,25.5,26.5,39,27.4,39.2,441,40,3,31,33,14,757,10.1
2,80,624,26.6,27.6,40.5,28.7,41,476,40,3,31.1,34,13.8,826,10.3
2,85,584,27.6,28.6,41.8,30.2,42.7,508,40,3,31,35,13.5,893,10.5
2,90,544,28.4,29.5,43,31.7,44.3,538,40,3,30.8,36,13.2,959,10.7
2,95,505,29.2,30.3,44.2,33.4,45.8,566,39,3,31,37,13,1024,10.8
2,100,467,30,31,45.3,35.2,47.2,592,38,3,31.6,37,12.7,1088,10.9
2,105,431,30.6,31.7,46.4,37,48.5,616,36,2.9,32.4,38,12.4,1150,10.9
2,110,398,31.2,32.3,47.4,39,49.7,639,34,2.9,33.3,38,12.1,1210,11
2,115,366,31.8,32.8,48.5,41.1,50.9,660,32,2.9,34,39,11.9,1270,11
2,120,335,32.3,33.3,49.6,43.4,52,679,30,2.9,34.6,39,11.6,1328,11.1
2,125,304,32.8,33.8,50.7,45.7,53.1,698,28,2.9,35.2,39,11.3,1386,11.2
2,130,273,33.3,34.3,51.8,48,54.2,717,26,2.9,35.8,39,11,1444,11.3
2,135,242,33.8,34.8,52.9,50.3,55.3,736,24,2.9,36.4,39,10.7,1502,11.4
2,140,211,34.3,35.3,54,52.6,56.4,755,22,2.9,37,39,10.4,1560,11.5
2,145,180,34.8,35.8,55.1,54.9,57.5,774,20,2.9,37.6,39,10.1,1618,11.6
2,150,149,35.3,36.3,56.2,57.2,58.6,793,18,2.9,38.2,39,9.8,1676,11.7
2,155,118,35.8,36.8,57.3,59.5,59.7,812,16,2.9,38.8,39,9.5,1734,11.8
2,160,87,36.3,37.3,58.4,61.8,60.8,831,14,2.9,39.4,39,9.2,1792,11.9
3,20,4225,2.9,3.7,6.3,1.7,5.8,0,1476,6.9,5.5,17,7.1,0,0.5
3,25,3734,4.8,5.6,9.2,3.8,8.6,0,1279,6.3,6.4,18,7.9,0,1.3
3,30,3243,6.7,7.5,12.1,5.9,11.4,10,1082,5.7,7.3,19,8.7,34,2.1
3,35,2752,8.6,9.4,15,8,14.2,44,885,5.1,8.2,20,9.5,90,2.9
